Facility,City,State,Emissions,
ABENGOA BIOENERGY CORPORATION COLWICH ETHANOL PLANT,COLWICH,KS,---,
ABERDEEN ENERGY LLC,MINA,SD,"197,928",
ABSOLUTE ENERGY LLC,ST ANSGAR (MONA),IA,"151,261",
ACE ETHANOL LLC,STANLEY,WI,"80,642",
ADKINS ENERGY LLC,LENA,IL,"89,423",
ADM CORN PROCESSING,WALHALLA,ND,---,
AL CORN CLEAN FUEL,CLAREMONT,MN,"193,607",
ALTO COLUMBIA LLC,BOARDMAN,OR,"38,611",
ALTO MAGIC VALLEY LLC,BURLEY,ID,"44,427",
ARKALON ETHANOL LLC,LIBERAL,KS,"104,536",
Abengoa Bioenergy Biomass of Kansas,Hugoton,KS,---,
"Aemetis Advanced Fuels Keyes, Inc.",Ceres,CA,"40,569",
"AltEn, LLC",Mead,NE,---,
"Attis Ethanol Fulton, LLC",FULTON,NY,---,
Aurora Ethanol Complex,Aurora,NE,"103,041",
Aztalan Bio LLC,Johnson Creek,WI,"15,063",
BADGER STATE ETHANOL,MONROE,WI,"111,351",
BIG RIVER RESOURCES GALVA LLC,GALVA,IL,"171,305",
BIG RIVER RESOURCES WEST BURLINGTON LLC,WEST BURLINGTON,IA,"164,883",
BIG RIVER UNITED ENERGY LLC,DYERSVILLE,IA,"174,051",
"BONANZA BIOENERGY, LLC",GARDEN CITY,KS,"56,157",
BRIDGEPORT ETHANOL LLC,BRIDGEPORT,NE,"53,788",
BUSHMILLS ETHANOL INC.,ATWATER,MN,"113,085",
"Big River Resources Boyceville, LLC",BOYCEVILLE,WI,"87,265",
BioUrja Renewables LLC,PEORIA,IL,"269,843",
"Buffalo Lake Advanced Biofuels, LLC",Buffalo Lake,MN,---,
CARBON GREEN BIOENERGY,LAKE ODESSA,MI,"80,586",
"CARDINAL ETHANOL, LLC",UNION CITY,IN,"166,670",
CENTER ETHANOL CO LLC,SAUGET,IL,---,
"CENTRAL INDIANA ETHANOL, LLC",MARION,IN,"138,983",
