source_name,source_type,sector,purity_tier,source_co2_purity_pct,naics,emissions_tpy_2023,emissions_estimated,mw_potential,plant_size_class,source_lat,source_lon,source_state,dist_to_viable_km,viable_within_50km,site_lat,site_lon,site_state,site_class_vi_primacy,site_temp_c_at_5km,site_depth_to_150c_m,site_basement_depth_m,site_lithology_category,site_lithology_rock_type,site_water_sui,site_water_sui_class,within_30km_co2_pipeline,dist_to_co2_pipeline_km,nearest_transmission_km,transmission_kv,transmission_volt_class,composite_score
SIMPLOT PHOSPHATES,FLIGHT,Ammonia/Fertilizer,High,,325312,473444,False,85.3,50-100 MW,41.53841,-109.12746,WY,5.94,True,41.51365,-109.19071,Wyoming,primacy,150.8,4972,3051,Sedimentary,Sandstone,0.1858,Low,True,14.62,12.1,230,220-287,139.2
Converse Central Facility,FLIGHT,Natural Gas Processing,High,,211120,416318,False,75.0,50-100 MW,31.95506,-93.68166,LA,3.36,True,31.92505,-93.67767,Louisiana,primacy,171.6,4288,3853,Unconsolidated,Unconsolidated,0.1969,Low,False,181.4,6.66,-999999,NOT AVAILABLE,132.4
AIR LIQUIDE AMERICA CORP,FLIGHT,Industrial Gas,High,,325120,481525,False,86.8,50-100 MW,32.4478,-94.6875,TX,6.49,True,32.48908,-94.63866,Texas,primacy,172.3,4262,4253,Sedimentary,Shale,0.1375,Low,False,267.03,0.37,138,100-161,131.9
Magnolia Amine Plant,FLIGHT,Natural Gas Processing,High,,213112,455946,False,82.2,50-100 MW,32.26785,-93.29861,LA,4.5,True,32.2384,-93.26582,Louisiana,primacy,159.2,4658,4920,Unconsolidated,Unconsolidated,0.2786,Moderate,False,162.16,1.99,-999999,NOT AVAILABLE,131.9
Echo Springs Gas Plant,FLIGHT,Natural Gas Processing,High,,211130,381669,False,68.8,50-100 MW,41.6472,-107.8236,WY,1.03,True,41.63899,-107.81787,Wyoming,primacy,170.1,4381,4895,Sedimentary,Shale,0.1543,Low,False,58.98,0.33,230,220-287,131.4
Cheyenne Plant,FLIGHT,Ammonia/Fertilizer,High,,325311,383736,False,69.1,50-100 MW,41.0949,-104.908,WY,3.16,True,41.07495,-104.93492,Wyoming,primacy,173.8,4305,3658,Sedimentary,Sandstone,0.1498,Low,False,249.88,0.78,34,UNDER 100,130.0
APACHE NITROGEN PRODUCTS - PLANT,FLIGHT,Ammonia/Fertilizer,High,,325311,415929,False,74.9,50-100 MW,31.88,-110.24,AZ,5.02,True,31.86237,-110.28897,Arizona,primacy,162.1,4590,1140,Unconsolidated,Unconsolidated,0.3649,Moderate,False,512.34,13.67,230,220-287,129.2
North DeSoto Central Facility,FLIGHT,Natural Gas Processing,High,,211120,397768,False,71.7,50-100 MW,32.24077,-93.65487,LA,7.04,True,32.30107,-93.67767,Louisiana,primacy,166.3,4387,3597,,,0.1949,Low,False,195.75,1.17,-999999,NOT AVAILABLE,126.3
Air Products West Coast Hydrogen - HP-1,FLIGHT,Industrial Gas,High,,325120,446432,False,80.4,50-100 MW,38.0133,-122.10796,CA,1.51,True,38.00409,-122.09535,California,federal,238.7,2753,7,,,0.4697,High,False,1111.15,0.74,115,100-161,121.8
Battlefield Gas Plant,FLIGHT,Natural Gas Processing,High,,211130,311054,False,56.0,50-100 MW,31.96785,-93.67311,LA,4.78,True,31.92505,-93.67767,Louisiana,primacy,171.6,4288,3853,Unconsolidated,Unconsolidated,0.1969,Low,False,182.54,5.18,-999999,NOT AVAILABLE,121.5
PHOENIX CEMENT COMPANY\S CLARKDALE FACILITY,FLIGHT,Cement,Medium,,327310,768127,False,138.4,>=100 MW,34.77972,-112.0838,AZ,3.27,True,34.80789,-112.07366,Arizona,primacy,194.8,3709,74,Sedimentary,Conglomerate,0.1855,Low,False,378.16,13.07,-999999,NOT AVAILABLE,120.4
Robeline Plant,FLIGHT,Natural Gas Processing,High,,213112,325451,False,58.6,50-100 MW,31.65872,-93.32499,LA,7.6,True,31.67436,-93.40311,Louisiana,primacy,174.6,4207,4352,Unconsolidated,Unconsolidated,0.2792,Moderate,False,140.86,0.93,-999999,NOT AVAILABLE,120.4
AIR PRODUCTS & CHEMICALS INC MARTINEZ WATERFRONT ROAD,FLIGHT,Industrial Gas,High,,325120,609353,False,109.8,>=100 MW,38.03277,-122.07594,CA,3.61,True,38.00409,-122.09535,California,federal,238.7,2753,7,,,0.4697,High,False,1107.67,0.2,230,220-287,119.7
LHOIST NORTH AMERICA,FLIGHT,Lime,Medium,,327410,787420,False,141.9,>=100 MW,35.5205,-113.3131,AZ,2.61,True,35.49727,-113.30921,Arizona,primacy,183.7,3932,60,Sedimentary,Sandstone,0.2104,Moderate,False,415.28,0.39,-999999,NOT AVAILABLE,119.4
