lat,lon,temp_c,basement
38.8188,-122.7818,329.7,
38.9442,-122.7818,329.3,
38.8815,-122.6445,326.3,
38.9442,-123.0563,323.9,
39.0068,-122.9191,323.3,
38.7561,-122.6445,320.9,
36.4373,-117.565,319.5,
36.5,-117.9768,318.7,
39.1322,-123.1936,314.6,
39.0695,-122.5072,313.8,
39.3202,-122.7818,313.4,
39.0068,-122.6445,313.1,
41.827,-121.9581,312.7,
43.5818,-113.7211,312.2,
35.936,-117.8396,311.4,
38.9442,-122.5072,311.3,
39.1322,-122.9191,308.9,
38.5681,-122.5072,308.4,
39.0695,-123.0563,307.7,
38.3801,-112.2109,307.1,
38.5055,-122.3699,306.8,
39.3828,-122.9191,306.1,
44.4592,-110.7008,306.0,
43.5191,-113.5838,305.8,
43.7071,-112.3482,305.3,
38.8188,-122.5072,305.2,
41.0123,-121.8208,304.8,
36.0613,-117.8396,304.8,
40.8869,-121.5462,303.9,
44.5218,-110.8381,303.9,
39.4455,-122.7818,303.0,
41.5763,-121.4089,302.8,
39.8842,-124.0173,302.4,
38.7561,-122.3699,301.2,
41.2003,-121.1344,299.4,
37.1267,-117.4277,299.4,
41.5763,-122.7818,298.7,
41.0123,-122.6445,298.6,
41.7017,-121.6835,298.6,
39.0695,-122.7818,298.4,
43.5191,-113.3092,298.3,
44.5845,-110.4263,298.1,
39.4455,-123.0563,296.1,
41.7643,-121.8208,296.0,
41.263,-121.8208,295.9,
44.3338,-110.7008,295.8,
44.6472,-110.289,295.8,
38.7561,-123.4682,295.2,
38.7561,-122.9191,295.0,
42.015,-119.0751,295.0,
37.5027,-118.526,294.7,
35.9986,-117.7023,294.4,
36.3747,-117.9768,294.4,
43.2058,-114.2702,294.3,
43.3938,-113.5838,294.1,
43.4564,-113.4465,293.7,
39.3202,-123.0563,293.7,
39.2575,-123.1936,292.3,
41.2003,-121.4089,292.3,
44.5218,-110.289,292.3,
43.2058,-113.1719,292.2,
41.5763,-121.9581,292.0,
38.6308,-122.9191,291.8,
41.0123,-121.5462,291.6,
44.0831,-110.7008,291.4,
38.2548,-118.526,290.9,
39.6335,-112.7601,290.2,
39.0068,-122.3699,289.4,
37.1894,-117.565,288.7,
41.263,-121.5462,288.0,
41.9523,-119.2124,287.9,
43.7071,-113.7211,287.9,
43.2684,-113.3092,287.9,
38.5681,-122.7818,287.5,
38.6935,-122.7818,287.0,
43.5191,-112.4855,286.8,
43.5818,-113.4465,286.6,
38.5055,-122.6445,286.5,
44.3965,-110.8381,285.9,
41.451,-122.5072,285.6,
36.3747,-117.4277,285.5,
38.1294,-118.526,285.2,
38.8815,-119.3497,284.8,
43.5818,-112.6228,284.3,
41.075,-121.4089,283.9,
40.9496,-121.6835,283.8,
42.4537,-123.88,283.7,
41.827,-119.2124,283.7,
38.1921,-118.9378,283.7,
41.3256,-121.6835,283.5,
43.0177,-113.3092,283.5,
36.688,-118.1141,283.4,
39.1322,-122.6445,283.1,
