hex_idx,lat,lon,temp_c,basement_m,state,primacy,nearest_high_name,nearest_high_sector,nearest_high_dist_km,nearest_high_tpy,co2_high_25km_tpy,co2_all_25km_tpy,co2_all_50km_tpy,emitters_50km,meets_5mw,meets_10mw,meets_50mw,score
1484,41.8897,-121.8208,335.7,,California,federal,Gas Transmission Northwest Pipeline Bonanza CS#14,Natural Gas Processing,44.6,68113.848,0,0,1314574.016,3,No,No,No,349.1
1194,43.2058,-122.2326,300.9,,Oregon,federal,Gas Transmission Northwest Pipeline Chemult CS#13,Natural Gas Processing,35.6,65716.706,0,0,65716.706,1,No,No,No,284.0
1491,42.7671,-121.8208,298.8,,Oregon,federal,Gas Transmission Northwest Pipeline Chemult CS#13,Natural Gas Processing,35.0,65716.706,0,0,65716.706,1,No,No,No,280.1
1492,42.8924,-121.8208,291.9,,Oregon,federal,Gas Transmission Northwest Pipeline Chemult CS#13,Natural Gas Processing,21.1,65716.706,65716.706,65716.706,65716.706,1,Yes,Yes,No,279.8
1291,43.1431,-122.0954,289.2,,Oregon,federal,Gas Transmission Northwest Pipeline Chemult CS#13,Natural Gas Processing,22.7,65716.706,65716.706,65716.706,65716.706,1,Yes,Yes,No,273.6
1386,42.3284,-121.9581,298.3,,Oregon,federal,Gas Transmission Northwest Pipeline Bonanza CS#14,Natural Gas Processing,46.0,68113.848,0,1246460.168,1314574.016,3,No,No,No,273.6
1252,38.2548,-122.0954,267.8,,California,federal,AIR PRODUCTS & CHEMICALS INC MARTINEZ WATERFRONT ROAD,Industrial Gas,24.7,609352.7,609352.7,4504988.91,19051170.95,39,Yes,Yes,Yes,273.2
10402,38.6935,-112.0737,295.0,,Utah,application,FILLMORE COMPRESSOR STATION,Natural Gas Processing,36.0,72740.336,0,0,72740.336,1,No,No,No,272.0
1391,42.9551,-121.9581,286.8,,Oregon,federal,Gas Transmission Northwest Pipeline Chemult CS#13,Natural Gas Processing,17.6,65716.706,65716.706,65716.706,65716.706,1,Yes,Yes,No,271.4
1698,42.7671,-121.5462,296.2,,Oregon,federal,Gas Transmission Northwest Pipeline Chemult CS#13,Natural Gas Processing,41.9,65716.706,0,0,65716.706,1,No,No,No,271.4
1601,43.5818,-121.6835,291.4,,Oregon,federal,Gas Transmission Northwest Pipeline Bend CS#12,Natural Gas Processing,33.7,96481.694,0,0,96481.694,1,No,No,No,265.9
1690,41.7643,-121.5462,292.5,,California,federal,Gas Transmission Northwest Pipeline Bonanza CS#14,Natural Gas Processing,46.4,68113.848,0,0,68113.848,1,No,No,No,261.8
1596,42.9551,-121.6835,281.7,,Oregon,federal,Gas Transmission Northwest Pipeline Chemult CS#13,Natural Gas Processing,18.4,65716.706,65716.706,65716.706,65716.706,1,Yes,Yes,No,260.8
1058,38.2548,-122.3699,259.4,,California,federal,AIR LIQUIDE LARGE INDUSTRIES US LP - RODEO HYDROGEN PLANT,Industrial Gas,25.0,821122.3,821122.3,956834.272,14849503.938,29,Yes,Yes,Yes,256.3
1389,42.7044,-121.9581,288.5,,Oregon,federal,Gas Transmission Northwest Pipeline Chemult CS#13,Natural Gas Processing,43.3,65716.706,0,0,65716.706,1,No,No,No,255.3
1289,42.8924,-122.0954,285.1,,Oregon,federal,Gas Transmission Northwest Pipeline Chemult CS#13,Natural Gas Processing,30.3,65716.706,0,0,65716.706,1,No,No,No,255.1
1383,41.9523,-121.9581,289.4,,California,federal,Gas Transmission Northwest Pipeline Bonanza CS#14,Natural Gas Processing,49.4,68113.848,0,0,1314574.016,3,No,No,No,254.1
10262,38.5055,-112.2109,286.6,,Utah,application,FILLMORE COMPRESSOR STATION,Natural Gas Processing,44.3,72740.336,0,0,72740.336,1,No,No,No,251.1
9473,42.8924,-113.0346,281.8,,Idaho,federal,NORTHWEST PIPELINE GP - POCATELLO C/S,Natural Gas Processing,28.5,0,0,0,105807.044,2,No,No,No,249.4
1485,42.015,-121.8208,283.1,,Oregon,federal,Gas Transmission Northwest Pipeline Bonanza CS#14,Natural Gas Processing,36.1,68113.848,0,1246460.168,1314574.016,3,No,No,No,248.2
1494,43.1431,-121.8208,272.1,,Oregon,federal,Gas Transmission Northwest Pipeline Chemult CS#13,Natural Gas Processing,6.8,65716.706,65716.706,65716.706,65716.706,1,Yes,Yes,No,247.4
1195,43.3311,-122.2326,283.8,,Oregon,federal,Gas Transmission Northwest Pipeline Chemult CS#13,Natural Gas Processing,42.9,65716.706,0,0,65716.706,1,No,No,No,246.2
965,38.4428,-122.5072,284.7,,California,federal,AIR LIQUIDE LARGE INDUSTRIES US LP - RODEO HYDROGEN PLANT,Industrial Gas,49.0,821122.3,0,11653.778,2110913.254,8,No,No,No,244.9
1704,43.5191,-121.5462,281.2,,Oregon,federal,Gas Transmission Northwest Pipeline Bend CS#12,Natural Gas Processing,35.0,96481.694,0,0,96481.694,1,No,No,No,244.9
9338,43.0804,-113.1719,284.5,,Idaho,federal,NORTHWEST PIPELINE GP - POCATELLO C/S,Natural Gas Processing,48.2,0,0,0,0,1,No,No,No,244.9
9852,38.9442,-112.6228,273.0,,Utah,application,FILLMORE COMPRESSOR STATION,Natural Gas Processing,19.3,72740.336,72740.336,857825.656,857825.656,2,Yes,Yes,No,243.6
1353,38.1921,-121.9581,251.1,,California,federal,AIR PRODUCTS & CHEMICALS INC MARTINEZ WATERFRONT ROAD,Industrial Gas,20.5,609352.7,1413054.9859999998,10630667.688,18948535.478,38,Yes,Yes,Yes,241.9
9472,42.7671,-113.0346,275.3,,Idaho,federal,NORTHWEST PIPELINE GP - POCATELLO C/S,Natural Gas Processing,27.9,0,0,0,105807.044,2,No,No,No,236.7
9990,39.0068,-112.4855,268.8,,Utah,application,FILLMORE COMPRESSOR STATION,Natural Gas Processing,16.4,72740.336,72740.336,72740.336,857825.656,2,Yes,Yes,No,236.7
1597,43.0804,-121.6835,267.9,,Oregon,federal,Gas Transmission Northwest Pipeline Chemult CS#13,Natural Gas Processing,11.8,65716.706,65716.706,65716.706,65716.706,1,Yes,Yes,No,236.5
1251,38.1294,-122.0954,245.8,,California,federal,AIR PRODUCTS & CHEMICALS INC MARTINEZ WATERFRONT ROAD,Industrial Gas,10.9,609352.7,2234177.286,11483065.754,19117715.282,43,Yes,Yes,Yes,236.2
9989,38.8815,-112.4855,265.3,,Utah,application,FILLMORE COMPRESSOR STATION,Natural Gas Processing,5.6,72740.336,72740.336,72740.336,857825.656,2,Yes,Yes,No,235.1
1590,42.203,-121.6835,269.0,,Oregon,federal,Gas Transmission Northwest Pipeline Bonanza CS#14,Natural Gas Processing,20.4,68113.848,68113.848,1314574.016,1314574.016,3,Yes,Yes,No,234.6
1589,42.0777,-121.6835,269.3,,Oregon,federal,Gas Transmission Northwest Pipeline Bonanza CS#14,Natural Gas Processing,22.8,68113.848,68113.848,1314574.016,1314574.016,3,Yes,Yes,No,234.0
1191,42.8297,-122.2326,277.7,,Oregon,federal,Gas Transmission Northwest Pipeline Chemult CS#13,Natural Gas Processing,43.2,65716.706,0,0,65716.706,1,No,No,No,233.8
